FETAL_FRAC,CHR13_SENSITIVITY,CHR13_SPECIFICITY,CHR18_SENSITIVITY,CHR18_SPECIFICITY,CHR21_SENSITIVITY,CHR21_SPECIFICITY
0.001,0.0067,0.9989,0.0052,0.9983,0.0044,0.9986
0.002,0.0223,0.998,0.016,0.9981,0.0091,0.9992
0.003,0.061,0.9987,0.0346,0.9985,0.02,0.9979
0.004,0.1407,0.9987,0.077,0.9982,0.0366,0.9995
0.005,0.2581,0.998,0.1344,0.9982,0.0624,0.9986
0.006,0.4134,0.9988,0.2234,0.9993,0.0968,0.9993
0.007,0.5792,0.9985,0.3413,0.999,0.1509,0.9993
0.008,0.7441,0.9988,0.4709,0.9994,0.2145,0.9994
0.009,0.865,0.9987,0.6041,0.9993,0.2927,0.9995
0.01,0.9331,0.9982,0.7267,0.9989,0.374,0.9997
0.011,0.9701,0.999,0.8194,0.9995,0.4571,0.9994
0.012,0.9907,0.9991,0.8855,0.9995,0.5465,0.9998
0.013,0.9958,0.9989,0.9322,0.9995,0.6311,0.9998
0.014,0.9987,0.9991,0.958,0.9988,0.6996,0.9996
0.015,0.9998,0.9989,0.9791,0.9987,0.7583,0.9997
0.016,1.0,0.9994,0.9857,0.9993,0.8005,0.9999
0.017,0.9999,0.9981,0.99,0.9996,0.8439,0.9999
0.018,1.0,0.9982,0.9951,0.9995,0.8781,0.9999
0.019,1.0,0.9988,0.9973,0.9999,0.8981,0.9999
0.02,1.0,0.9986,0.9972,0.9998,0.9207,0.9999
0.021,1.0,0.9993,0.9985,0.9995,0.939,0.9999
0.022,1.0,0.9987,0.9992,0.9997,0.9519,0.9998
0.023,1.0,0.9989,0.999,0.9995,0.9587,0.9997
0.024,1.0,0.9989,0.9995,0.9993,0.9664,1.0
0.025,1.0,0.9991,0.9994,0.9996,0.9744,0.9999
0.026,1.0,0.9991,0.9998,0.9996,0.979,0.9999
0.027,1.0,0.9985,0.9997,0.9996,0.9809,0.9998
0.028,1.0,0.9989,0.9999,0.9997,0.9842,1.0
0.029,1.0,0.999,0.9999,0.9995,0.9865,0.9999
0.03,1.0,0.9989,1.0,0.9994,0.9878,0.9999
0.031,1.0,0.9988,1.0,0.9996,0.9911,0.9999
0.032,1.0,0.9988,0.9999,0.9999,0.9904,1.0
0.033,1.0,0.999,1.0,0.9993,0.9906,1.0
0.034,1.0,0.9993,1.0,0.9997,0.9931,1.0
0.035,1.0,0.9997,1.0,0.9995,0.9926,0.9999
0.036,1.0,0.9991,1.0,0.9996,0.9948,0.9998
0.037,1.0,0.9988,1.0,0.9994,0.9946,1.0
0.038,1.0,0.9991,1.0,0.9996,0.9948,0.9997
0.039,1.0,0.9986,1.0,0.9996,0.995,1.0
0.04,1.0,0.9989,1.0,0.9997,0.9972,1.0
