FETAL_FRAC,CHR13_SENSITIVITY,CHR13_SPECIFICITY,CHR18_SENSITIVITY,CHR18_SPECIFICITY,CHR21_SENSITIVITY,CHR21_SPECIFICITY
0.001,0.004,0.9985,0.0029,0.9979,0.0031,0.9987
0.002,0.007,0.9979,0.0048,0.9987,0.0039,0.9979
0.003,0.0135,0.9976,0.0091,0.9985,0.0044,0.9982
0.004,0.0202,0.9971,0.0125,0.9984,0.0093,0.9988
0.005,0.0334,0.9976,0.0184,0.9984,0.012,0.9984
0.006,0.0517,0.9981,0.0251,0.9984,0.0188,0.9987
0.007,0.0711,0.9982,0.0443,0.9983,0.0199,0.9982
0.008,0.1151,0.9978,0.0633,0.9985,0.0299,0.9983
0.009,0.1508,0.9985,0.0822,0.9985,0.0397,0.9987
0.01,0.192,0.9991,0.1077,0.9983,0.0533,0.9986
0.011,0.2661,0.998,0.1398,0.999,0.0606,0.9993
0.012,0.3367,0.9982,0.1777,0.9982,0.0835,0.9988
0.013,0.4052,0.998,0.2324,0.9989,0.1018,0.9988
0.014,0.4893,0.9984,0.2789,0.9987,0.1195,0.9983
0.015,0.5795,0.9984,0.3319,0.9989,0.1487,0.9993
0.016,0.6528,0.9978,0.3916,0.9993,0.1794,0.9997
0.017,0.7191,0.9984,0.457,0.9993,0.2045,0.9994
0.018,0.7871,0.9986,0.5086,0.9989,0.2403,0.9993
0.019,0.8336,0.9985,0.5737,0.9992,0.2774,0.9994
0.02,0.8815,0.9983,0.6256,0.9994,0.299,0.9996
0.021,0.9168,0.9982,0.689,0.999,0.3552,0.9994
0.022,0.9406,0.999,0.7403,0.9985,0.3924,0.9994
0.023,0.9593,0.9981,0.7768,0.9994,0.4274,0.9991
0.024,0.9715,0.9987,0.8208,0.9992,0.4683,0.9994
0.025,0.9856,0.9991,0.8529,0.999,0.5061,0.9998
0.026,0.9893,0.9991,0.8853,0.9997,0.5482,0.9999
0.027,0.9925,0.9985,0.9026,0.9996,0.583,0.9995
0.028,0.9954,0.9986,0.9256,0.9994,0.6183,0.9998
0.029,0.9984,0.9993,0.9443,0.9992,0.6466,0.9995
0.03,0.9989,0.9983,0.9568,0.9994,0.6922,0.9997
0.031,0.9993,0.9989,0.9656,0.9992,0.7119,0.9994
0.032,0.9995,0.9979,0.974,0.9994,0.7457,0.9995
0.033,0.9995,0.9987,0.9807,0.9995,0.7647,0.9998
0.034,0.9999,0.9982,0.9829,0.9993,0.7855,0.9997
0.035,0.9997,0.9984,0.9865,0.9991,0.8043,0.9998
0.036,0.9998,0.9978,0.9877,0.9994,0.8298,0.9995
0.037,0.9999,0.9991,0.9909,0.9993,0.847,0.9999
0.038,0.9999,0.999,0.9941,0.9996,0.8661,0.9997
0.039,0.9999,0.9986,0.9941,0.9999,0.8742,0.9996
0.04,1.0,0.9985,0.9963,0.9996,0.8953,0.9998
